epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9181,1.22337,1.58918,1.25897,0.60989,0.56021,0.60089,0.43876,1.08164,1.11712,1.11267,1.785e-05,1.785e-05,1.785e-05
2,101.599,1.20744,1.51429,1.2299,0.64553,0.54294,0.62658,0.46155,1.07419,1.09401,1.10962,3.32379e-05,3.32379e-05,3.32379e-05
3,152.422,1.18049,1.41923,1.1955,0.61589,0.5955,0.64167,0.47822,1.0688,1.06684,1.10551,4.48559e-05,4.48559e-05,4.48559e-05
4,198.093,1.14121,1.41728,1.18159,0.59133,0.61851,0.65626,0.48877,1.06567,1.04744,1.10478,5.27039e-05,5.27039e-05,5.27039e-05
5,251.289,1.13993,1.27649,1.18479,0.66366,0.60777,0.67508,0.50113,1.05474,1.0292,1.09788,5.6782e-05,5.6782e-05,5.6782e-05
6,298.865,1.18014,1.34641,1.21927,0.69088,0.60236,0.68232,0.50715,1.05241,1.02128,1.09734,5.70903e-05,5.70903e-05,5.70903e-05
7,348.828,1.0933,1.26746,1.16175,0.70425,0.60624,0.68752,0.51259,1.04376,1.00334,1.0951,4.8314e-05,4.8314e-05,4.8314e-05
8,401.607,1.13372,1.26949,1.1971,0.72511,0.60639,0.69604,0.51925,1.03766,0.98613,1.0896,3.6533e-05,3.6533e-05,3.6533e-05
9,451.073,1.11705,1.18521,1.16474,0.73751,0.61222,0.69993,0.52427,1.03592,0.97804,1.08894,2.4752e-05,2.4752e-05,2.4752e-05
10,507.001,1.12366,1.21634,1.17823,0.69333,0.63628,0.69837,0.52448,1.03043,0.97064,1.08475,1.2971e-05,1.2971e-05,1.2971e-05
